ID,Name,Concepticon_ID,Concepticon_Gloss,French_Gloss
1_guestorstranger,GUEST OR STRANGER,2908,GUEST OR STRANGER,étranger
2_toage,TO AGE,,,"(être vivant) devenir vieux, âgé"
3_ancestors,ANCESTORS,1669,ANCESTORS,"aïeul, ancêtre"
4_animal,ANIMAL,619,ANIMAL,animal
5_answer,ANSWER,1275,ANSWER,répondre
6_armpit,ARMPIT,1886,ARMPIT,aisselle
7_arrive,ARRIVE,1387,ARRIVE,arriver
8_ash,ASH,646,ASH,cendre
9_back,BACK,1291,BACK,dos
10_bad,BAD,1292,BAD,mauvais
11_bark,BARK,1204,BARK,coque (de noix); écorce
12_bealive,BE ALIVE,1422,BE ALIVE,"ê. vivant, vivre (ne pas ê. décédé)"
13_beard,BEARD,678,BEARD,barbe
14_beautiful,BEAUTIFUL,1427,BEAUTIFUL,beau
15_begin,BEGIN,1806,BEGIN,commencer
16_belly,BELLY,1251,BELLY,estomac
17_belt,BELT,772,BELT,ceinture
18_beside,BESIDE,1816,BESIDE,à côté de (qch)
19_big,BIG,1202,BIG,grand
20_bird,BIRD,937,BIRD,(tout) oiseau
21_bite,BITE,1403,BITE,"(qn, mammifère) mordre (qch, qn)"
22_bitter,BITTER,887,BITTER,(goût) amer
23_blacksmith,BLACKSMITH,1001,BLACKSMITH,forgeron
24_blanket,BLANKET,806,BLANKET,couverture
25_blink,BLINK,1655,BLINK,cligner des yeux
26_blood,BLOOD,946,BLOOD,sang
27_blunt,BLUNT,379,BLUNT,(lame) émoussé
28_boat,BOAT,1844,BOAT,"barque, pirogue, chaland"
29_body,BODY,1480,BODY,corps
30_bone,BONE,1394,BONE,os
31_bow,BOW,994,BOW,arc
32_feedsomeonebreakfast,FEED SOMEONE BREAKFAST,,,"donner à déjeuner, déjeuner"
33_breast,BREAST,1402,BREAST,sein
34_breathe,BREATHE,1407,BREATHE,respirer
35_broom,BROOM,245,BROOM,balai
36_build,BUILD,1840,BUILD,"bâtir, construire"
37_burnsomething,BURN (SOMETHING),141,BURN (SOMETHING),brûler
38_bury,BURY,1719,BURY,déposer; enterrer (cadavre)
39_buy,BUY,1869,BUY,acheter
40_callnoun,CALL (NOUN),,,appel
41_camel,CAMEL,1871,CAMEL,chameau
42_carryonhead,CARRY ON HEAD,414,CARRY ON HEAD,"porter (qch, à la tête)"
43_carve,CARVE,228,CARVE,tailler (bois)
44_cassava,CASSAVA,925,CASSAVA,"Manihot esculenta, manioc"
45_cat,CAT,1208,CAT,chat
46_cause,CAUSE,860,CAUSE,"cause, faute"
47_cave,CAVE,1155,CAVE,grotte
48_cheek,CHEEK,1730,CHEEK,joue
49_chest,CHEST,1592,CHEST,poitrine
50_chicken,CHICKEN,1318,CHICKEN,"poule, coq, poulet"
51_chieftain,CHIEFTAIN,301,CHIEFTAIN,chef
52_child,CHILD,2099,CHILD,enfant
53_chin,CHIN,1510,CHIN,menton
54_cloud,CLOUD,1489,CLOUD,nuage
55_cold,COLD,1287,COLD,(le) froid
56_come,COME,1446,COME,venir
57_comeback,COME BACK,581,COME BACK,retourner
58_cotton,COTTON,1850,COTTON,coton
59_count,COUNT,1420,COUNT,"calcul, (dé-)compte"
60_country,COUNTRY,1300,COUNTRY,"pais, terre, sol"
61_cow,COW,1007,COW,bovin (vache ou taureau)
62_cry,CRY,1839,CRY,pleurer
63_daynotnight,DAY (NOT NIGHT),1225,DAY (NOT NIGHT),jour (unité de temps)
64_dew,DEW,1977,DEW,"humidité, roséé"
65_die,DIE,1494,DIE,mourir
66_dig,DIG,1418,DIG,creuser
67_feedsomeonedinner,FEED SOMEONE DINNER,,,dîner
68_disease,DISEASE,1986,DISEASE,maladie
69_divide,DIVIDE,1119,DIVIDE,diviser
70_dog,DOG,2009,DOG,chien
71_donkey,DONKEY,1862,DONKEY,âne
72_door,DOOR,1567,DOOR,battant (de porte)
73_doorpost,DOORPOST,80,DOORPOST,porte (passage)
74_dove,DOVE,1853,DOVE,pigeon
75_drink,DRINK,1401,DRINK,boire
76_dripfallinglobules,DRIP (FALL IN GLOBULES),808,DRIP (FALL IN GLOBULES),(eau) goutter
77_dry,DRY,1398,DRY,"(bois) mort, sec"
78_dust,DUST,2,DUST,poussière
79_dyenoun,DYE (NOUN),,,tissu noirâtre teinté d'indigo
80_ear,EAR,1247,EAR,oreille
81_earring,EARRING,770,EARRING,bague ou boucle d’oreille
82_easy,EASY,686,EASY,"ê. facile, pas cher"
83_eat,EAT,1336,EAT,manger
84_egg,EGG,744,EGG,oeuf
85_eight,EIGHT,1705,EIGHT,huit
86_elbow,ELBOW,981,ELBOW,coude
87_elephant,ELEPHANT,1290,ELEPHANT,éléphant
88_empty,EMPTY,1624,EMPTY,(récipient) vide
89_enter,ENTER,749,ENTER,entrer
90_eye,EYE,1248,EYE,œil
91_face,FACE,1560,FACE,visage
92_fall,FALL,1280,FALL,tomber
93_far,FAR,1406,FAR,"éloigner, écarter"
94_fast,FAST,1631,FAST,rapide
95_fatobese,FAT (OBESE),1279,FAT (OBESE),gros
96_fatorganicsubstance,FAT (ORGANIC SUBSTANCE),323,FAT (ORGANIC SUBSTANCE),graisse
97_father,FATHER,1217,FATHER,père
98_fearbeafraid,FEAR (BE AFRAID),1419,FEAR (BE AFRAID),avoir peur
99_fearfright,FEAR (FRIGHT),781,FEAR (FRIGHT),peur
100_fight,FIGHT,3880,FIGHT (COMBAT),lutte
101_find,FIND,719,FIND,"obtenir, gagner"
102_finger,FINGER,1303,FINGER,doigt
103_fire,FIRE,221,FIRE,feu
104_firewood,FIREWOOD,10,FIREWOOD,bois (de chauffage)
105_fish,FISH,227,FISH,poisson
106_five,FIVE,493,FIVE,cinq
107_flower,FLOWER,239,FLOWER,fleur
108_flyinsect,FLY (INSECT),1504,FLY (INSECT),mouche
109_flymovethroughair,FLY (MOVE THROUGH AIR),1441,FLY (MOVE THROUGH AIR),(oiseau etc.) voler
110_foam,FOAM,1768,FOAM,"bulles, écume, mousse (de savon, de thé)"
111_fold,FOLD,1470,FOLD,"plier (papier, vêtement)"
112_food,FOOD,256,FOOD,"aliment, nourriture"
113_footorleg,FOOT OR LEG,2098,FOOT OR LEG,pied
114_forehead,FOREHEAD,123,FOREHEAD,front
115_forget,FORGET,1523,FORGET,oublier
116_forgive,FORGIVE,1528,FORGIVE,"excuser, pardonner (qqch)"
117_four,FOUR,1500,FOUR,quatre
118_friend,FRIEND,1325,FRIEND,ami
119_full,FULL,1429,FULL,plein
120_get,GET,694,GET,obtenir
121_girl,GIRL,1646,GIRL,fille
122_give,GIVE,1447,GIVE,donner
123_givebirth,GIVE BIRTH,1195,GIVE BIRTH,(femelle) accoucher (bébé)
124_go,GO,695,GO,aller
125_descent,DESCENT,490,DESCENDANTS,descendance
126_godowndescend,GO DOWN (DESCEND),2014,GO DOWN (DESCEND),descendre
127_goupascend,GO UP (ASCEND),705,GO UP (ASCEND),monter
128_goat,GOAT,1502,GOAT,"caprin, chèvre"
129_god,GOD,1944,GOD,Dieu
130_gold,GOLD,1369,GOLD,or
131_good,GOOD,1035,GOOD,bon
132_grandmother,GRANDMOTHER,1496,GRANDMOTHER,grand-mère
133_grass,GRASS,606,GRASS,herbe
134_guts,GUTS,1334,GUTS,entrailles
135_hair,HAIR,1040,HAIR,cheveu
136_hand,HAND,1277,HAND,main
137_hangup,HANG UP,357,HANG UP,"accrocher, suspendre"
138_head,HEAD,1256,HEAD,tête
139_hear,HEAR,1408,HEAR,entendre
140_heavy,HEAVY,1210,HEAVY,"dur, difficile, lourd"
141_help,HELP,1897,HELP,aider
142_hideconceal,HIDE (CONCEAL),602,HIDE (CONCEAL),cacher
143_hip,HIP,1745,HIP,hanche
144_honey,HONEY,942,HONEY,miel
145_hornanatomy,HORN (ANATOMY),1393,HORN (ANATOMY),corne
146_horse,HORSE,615,HORSE,cheval
147_host,HOST,1545,HOST,"accueillir, recevoir"
148_hot,HOT,1286,HOT,chaud
149_hundred,HUNDRED,1634,HUNDRED,cent
150_huntnoun,HUNT (NOUN),,,chasse (fait de faire la)
151_husband,HUSBAND,1200,HUSBAND,"époux, mari"
152_injure,INJURE,44,INJURE,blesser
153_iron,IRON,621,IRON,fer
154_jaw,JAW,798,JAW,mâchoire
155_joint,JOINT,999,JOINT,articulation
156_key,KEY,1472,KEY,clé
157_kidney,KIDNEY,489,KIDNEY,rate
158_kill,KILL,1417,KILL,tuer
159_kneesomeone,KNEE SOMEONE,,,donner un coup de genou à
160_kneel,KNEEL,66,KNEEL,"(qn, chameau) s'agenouiller"
