NUMBER	ENGLISH	FRENCH	CONCEPTICON_ID
1	GUEST OR STRANGER	étranger	2908
2	AGE	(être vivant) devenir vieux, âgé	1789
3	ANCESTORS	aïeul, ancêtre	1669
4	ANIMAL	animal	619
5	ANSWER	répondre	1275
6	ARMPIT	aisselle	1886
7	ARRIVE	arriver	1387
8	ASH	cendre	646
9	BACK	dos	1291
10	BAD	mauvais	1292
11	BARK	coque (de noix); écorce	1204
12	BE ALIVE	ê. vivant, vivre (ne pas ê. décédé)	1422
13	BEARD	barbe	678
14	BEAUTIFUL	beau	1427
15	BEGIN	commencer	1806
16	BELLY	estomac	1251
17	BELT	ceinture	772
18	BESIDE	à côté de (qch)	1816
19	BIG	grand	1202
20	BIRD	(tout) oiseau	937
21	BITE	(qn, mammifère) mordre (qch, qn)	1403
22	BITTER	(goût) amer	887
23	BLACKSMITH	forgeron	1001
24	BLANKET	couverture	806
25	BLINK	cligner des yeux	1655
26	BLOOD	sang	946
27	BLUNT	(lame) émoussé	379
28	BOAT	barque, pirogue, chaland	379
29	BODY	corps	1480
30	BONE	os	1394
31	BOW	arc	994
32	BREAKFAST	donner à déjeuner, déjeuner	1322
33	BREAST	sein	1402
34	BREATHE	respirer	1407
35	BROOM	balai	245
36	BUILD	bâtir, construire	1840
37	BURN (SOMETHING)	brûler	141
38	BURY	déposer; enterrer (cadavre)	1719
39	BUY	acheter	1869
40	CALL	appel	1084
41	CAMEL	chameau	1871
42	CARRY ON HEAD	porter (qch, à la tête)	414
43	CARVE	tailler (bois)	228
44	CASSAVA	Manihot esculenta, manioc	1030
45	CAT	chat	1208
46	CAUSE	cause, faute	860
47	CAVE	grotte	1155
48	CHEEK	joue	1730
49	CHEST	poitrine	1592
50	CHICKEN	poule, coq, poulet	1318
51	CHIEFTAIN	chef	301
52	CHILD	enfant	2099
53	CHIN	menton	1510
54	CLOUD	nuage	1489
55	COLD	(le) froid	1287
56	COME	venir	1446
57	COME BACK	retourner	581
58	COTTON	coton	1850
59	COUNT	calcul, (dé-)compte.	1420
60	COUNTRY	pais, terre, sol	1300
61	COW	bovin (vache ou taureau)	1007
62	CRY	pleurer	1839
63	DAY (NOT NIGHT)	daytime (not night)	1225
64	DEW	humidité, roséé	1977
65	DIE	mourir	1494
66	DIG	creuser	1418
67	DINNER (SUPPER)	dîner	1833
68	DISEASE	maladie	1986
69	DIVIDE	diviser	1119
70	DOG	chien	2009
71	DONKEY	âne	1862
72	DOOR	battant (de porte)	1567
73	DOORPOST	porte (passage)	80
74	DOVE	pigeon	1853
75	DRINK	boire	1401
76	DRIP (FALL IN GLOBULES)	(eau) goutter	808
77	DRY	(bois) mort, sec	1398
78	DUST	poussière	2
79	DYE	tissu noirâtre teinté d'indigo	157
80	EAR	oreille	1247
81	EARRING	bague ou boucle d’oreille -cpd: see [kàmb-ù]-[kòrb-ò] , hà.è-[kòrb-ò] , cè:-[kòrb-ò] .	770
82	EASY	ê. facile, pas cher	686
83	EAT	manger	1336
84	EGG	oeuf	744
85	EIGHT	huit	1705
86	ELBOW	coude	981
87	ELEPHANT	éléphant	1290
88	EMPTY	(récipient) vide	1624
89	ENTER	entrer	749
90	EYE	œil	1248
91	FACE	visage	1560
92	FALL	tomber	1280
93	FAR	éloigner, écarter	1406
94	FAST	rapide	1631
95	FAT (OBESE)	gros	1279
96	FAT (ORGANIC SUBSTANCE)	graisse	323
97	FATHER	père	1217
98	FEAR (BE AFRAID)	avoir peur	1419
99	FEAR (FRIGHT)	peur	781
100	FIGHT	lutte	1423
101	FIND	obtenir, gagner	719
102	FINGER	doigt	1303
103	FIRE	feu	221
104	FIREWOOD	bois (de chauffage)	10
105	FISH	poisson	227
106	FIVE	cinq	493
107	FLOWER	fleur	239
108	FLY (INSECT)	mouche	1504
109	FLY (MOVE THROUGH AIR)	(oiseau etc.) voler	1441
110	FOAM	bulles, écume, mousse (de savon, de thé) [verb kù:fà ].	1768
111	FOLD	plier (papier, vêtement)	1470
112	FOOD	aliment, nourriture	256
113	FOOT OR LEG	pied	2098
114	FOREHEAD	front	123
115	FORGET	oublier	1523
116	FORGIVE	excuser, pardonner (qqch) -ex: .ò né [.jéy .=´ .´yà:fà] they said they (had) forgiven it (e.g. debt)	1528
117	FOUR	quatre	1500
118	FRIEND	ami	1325
119	FULL	plein	1429
120	GET	obtenir	694
121	GIRL	fille	1646
122	GIVE	donner	1447
123	GIVE BIRTH	(femelle) accoucher (bébé)	1195
124	GO	aller	695
125	GO DOWN (DESCEND)	descendance	2014
126	GO OUT	descendre	2014
127	GO UP (ASCEND)	monter	705
128	GoːUT	quitter, venir de (lieu)r	1107
129	GOAT	caprin, chèvre	1502
130	GOD	Dieu	1944
131	GOLD	or	1369
132	GOOD	bon	1035
133	GRANDFATHER	grand-mère	1383
134	GRASS	herbe	606
