ID	DOCULECT	CONCEPT_IN_SOURCE	CONCEPT_FRENCH	IPA	VALUE	FORM	CONCEPTICON_ID	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS
1	Soninke		étranger	mùkkê	mùkkê	mùkkê		GUEST OR STRANGER	m ¹/u k k ⁵¹/e	4 7 1 1 7	AXMBZ	MYKKE	29	29.M.C 29.Y.V 29.K.c 29.K.C 29.E.V	2.0 1.5 1.1 1.75 0.8	0	18
2	Songhai_Kiini	guest, stranger (who lodges with a host)	étranger (qui loge chez qqn), invité	yòw-òó	yòw-òó	yòw-òó		GUEST OR STRANGER	j ¹/o w + ¹⁵/o:	6 7 6 9 7	AXN_X	JUW_U	27	27.J.C 27.U.V 27.W.c 27._._ 27.U.V	2.0 1.5 0.8 0.0 1.5	0	15 16
3	Songhai_Senni	guest, stranger (who lodges with a host)	étranger (qui loge chez qqn), invité	yòw-ò	yòw-ò	yòw-ò		GUEST OR STRANGER	j ¹/o w + ¹/o	6 7 6 9 7	AXN_X	JUW_U	28	28.J.C 28.U.V 28.W.c 28._._ 28.U.V	2.0 1.5 0.8 0.0 1.5	0	15 16
4	Bambara		étranger, hôte	dúnáⁿ	dúnáⁿ	dúnáⁿ		GUEST OR STRANGER	d ⁵/u n ⁵/ã	1 7 4 7	AXBZ	TYNA	2	2.T.C 2.Y.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	0	1
5	Bangime	visitor, guest	étranger, invité	jīī-tūwⁿɔ̀	jīī-tūwⁿɔ̀	jīī-tūwⁿɔ̀		GUEST OR STRANGER	j ³³/iː + t ³/u ∼/w̃ ¹/ɔ	6 7 9 1 7 6 7	AX_AXBZ	JI_TYWU	3	3.J.C 3.I.V 3._._ 3.T.C 3.Y.V 3.W.C 3.U.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	0	2 1
6	Fulfulde	visitor, guest	étranger, invité	koɗɗo	koɗɗo	koɗɗo		GUEST OR STRANGER	k o ɗ ɗ o	1 7 1 1 7	AXMBZ	KUTTU	19	19.K.C 19.U.V 19.T.c 19.T.C 19.U.V	2.0 1.5 1.1 1.75 0.8	0	11
7	Jenaama	visitor, guest	étranger, invité	súmū	súmū	súmū		GUEST OR STRANGER	s ⁵/u m ³/u	3 7 4 7	AXBZ	SYMY	22	22.S.C 22.Y.V 22.M.C 22.Y.V	2.0 1.5 1.75 0.8	0	12
8	Ben_Tey	visitor, guest (from out of town)	visiteur, étranger (en visite)	lò:sú-m	lò:sú-m\\lò:sú	lò:sú-m		GUEST OR STRANGER	l ¹/oː s ⁵/u + m	5 7 3 7 9 4	AXBZ_A	LUSY_M	5	5.L.C 5.U.V 5.S.C 5.Y.V 5._._ 5.M.C	2.0 1.5 1.75 0.8 0.0 2.0	0	4 5
9	Bankan_Tey	visitor, guest (from out of town)	visiteur, étranger (en visite)	ǹdòsú-m	ǹdòsú-m\\ǹdòsú	ǹdòsú-m		GUEST OR STRANGER	ⁿd ¹/o s ⁵/u + m	1 7 3 7 9 4	AXBZ_A	TUSY_M	4	4.T.C 4.U.V 4.S.C 4.Y.V 4._._ 4.M.C	2.0 1.5 1.75 0.8 0.0 2.0	0	4 5
10	Nanga	visitor, guest (from out of town)	visiteur, étranger (en visite)	lò:sí	lò:sí	lò:sí		GUEST OR STRANGER	l ¹/oː s ⁵/i	5 7 3 7	AXBZ	LUSI	24	24.L.C 24.U.V 24.S.C 24.I.V	2.0 1.5 1.75 0.8	0	4
11	Perge_Tegu	visitor, guest (from out of town)	visiteur, étranger (en visite)	lò:sú-n	lò:sú-n	lò:sú-n		GUEST OR STRANGER	l ¹/oː s ⁵/u + n	5 7 3 7 9 4	AXBZ_A	LUSY_N	26	26.L.C 26.U.V 26.S.C 26.Y.V 26._._ 26.N.C	2.0 1.5 1.75 0.8 0.0 2.0	0	4 5
12	Gourou	visitor, guest (from out of town)	visiteur, étranger (en visite)	yérí-n	yérí-n	yérí-n		GUEST OR STRANGER	j ⁵/e r ⁵/i + n	6 7 5 7 9 4	AXBZ_A	JERI_N	20	20.J.C 20.E.V 20.R.C 20.I.V 20._._ 20.N.C	2.0 1.5 1.75 0.8 0.0 2.0	0	7 5
13	Togo_Kan	visitor, guest (from out of town)	visiteur, étranger (en visite)	yéríⁿ	yéríⁿ	yéríⁿ		GUEST OR STRANGER	j ⁵/e r ⁵/ĩ	6 7 5 7	AXBZ	JERI	32	32.J.C 32.E.V 32.R.C 32.I.V	2.0 1.5 1.75 0.8	0	7
14	Yorno_So	visitor, guest (from out of town)	visiteur, étranger (en visite)	yér-nɛ́	yér-nɛ́\\yérú-m	yér-nɛ́		GUEST OR STRANGER	j ⁵/e r + n ⁵/ɛ	6 7 5 9 4 7	AXN_AX	JER_NE	38	38.J.C 38.E.V 38.R.c 38._._ 38.N.C 38.E.V	2.0 1.5 0.8 0.0 2.0 1.5	0	7 10
